actor_2_name,actor_1_name,movie_title,actor_3_name,title_year
Kevin Zegers,Aidan Turner,The Mortal Instruments: City of Bones ,CCH Pounder,2013
Adam Brown,Aidan Turner,The Hobbit: An Unexpected Journey ,James Nesbitt,2012
Wesley Jonathan,Aimee Garcia,B-Girl ,Drew Sidora,2009
Tyrone Giordano,Aimee Garcia,A Lot Like Love ,James Read,2005
Kelly Preston,Aisha Tyler,Death Sentence ,Edi Gathegi,2007
Nathin Butler,Akon,Black November ,Razaaq Adoti,2012
Synnøve Macody Lund,Aksel Hennie,Headhunters ,Julie R. Ølgaard,2011
Bhoomika Chawla,Akshaye Khanna,"Gandhi, My Father ",Darshan Jariwala,2007
Anthony Hopkins,Al Pacino,Misconduct ,Glen Powell,2016
Jennifer Garner,Al Pacino,Danny Collins ,Melissa Benoist,2015
Adam Sandler,Al Pacino,Jack and Jill ,Tim Meadows,2011
Matt Damon,Al Pacino,Ocean's Thirteen ,Brad Pitt,2007
Alicia Witt,Al Pacino,88 Minutes,Deborah Kara Unger,2007
Mackenzie Crook,Al Pacino,The Merchant of Venice ,Kris Marshall,2004
Maura Tierney,Al Pacino,Insomnia ,Crystal Lowe,2002
Richard Schiff,Al Pacino,People I Know ,Mark Webber,2002
Rip Torn,Al Pacino,The Insider ,Debi Mazar,1999
Dennis Quaid,Al Pacino,Any Given Sunday ,LL Cool J,1999
Martin Landau,Al Pacino,City Hall ,Bridget Fonda,1996
Santiago Segura,Alain Delon,Asterix at the Olympic Games ,Vanessa Hessler,2008
Martin Compston,Alan Brent,When the Lights Went Out ,Kate Ashfield,2012
Daniel Radcliffe,Alan Rickman,Harry Potter and the Half-Blood Prince ,Rupert Grint,2009
Freddy Rodríguez,Alan Rickman,Bottle Shock ,Greg Collins,2008
Enrico Colantoni,Alan Rickman,Galaxy Quest ,Robin Sachs,1999
Liam Neeson,Alan Rickman,Michael Collins ,Julia Roberts,1996
Kate Winslet,Alan Rickman,Sense and Sensibility ,Tom Wilkinson,1995
Daniel Henney,Alan Ruck,Shanghai Calling ,Eliza Coupe,2012
Marie Avgeropoulos,Alan Ruck,"I Love You, Beth Cooper ",Shawn Roberts,2009
Bob Balaban,Alanna Ubach,Clockwatchers ,Jamie Kennedy,1997
Yeardley Smith,Albert Brooks,The Simpsons Movie ,Marcia Wallace,2007
Helen McCrory,Albert Finney,Skyfall ,Rory Kinnear,2012
Helen McCrory,Albert Finney,Skyfall ,Rory Kinnear,2012
Zoey Deutch,Alden Ehrenreich,Beautiful Creatures ,Pruitt Taylor Vince,2013
Bruce Dern,Alden Ehrenreich,Twixt ,Joanne Whalley,2011
Neil Brown Jr.,Aldis Hodge,Straight Outta Compton ,R. Marcos Taylor,2015
Benoît Poelvoorde,Alessandro Nivola,Coco Before Chanel ,Marie Gillain,2009
Germán Alcarazu,Álex Angulo,Hidden Away ,Joseba Ugalde,2014
George W. Bush,Alex Gibney,Taxi to the Dark Side ,Greg D'Agostino,2007
Regina Casé,Alex Huszar,The Second Mother ,Luis Miranda,2015
Sarah Drew,Alex Kendrick,Moms' Night Out ,Patricia Heaton,2014
Jansen Panettiere,Alex Kendrick,The Lost Medallion: The Adventures of Billy Stone ,Tiya Sircar,2013
Erin Bethea,Alex Kendrick,Facing the Giants ,Shannen Fields,2006
Bruce Greenwood,Alex Pettyfer,Endless Love ,Rhys Wakefield,2014
David Oyelowo,Alex Pettyfer,Lee Daniels' The Butler ,Vanessa Redgrave,2013
Emily Wickersham,Alex Pettyfer,I Am Number Four ,Reuben Langdon,2011
Mary-Kate Olsen,Alex Pettyfer,Beastly ,Erik Knudsen,2011
Sophie Okonedo,Alex Pettyfer,Alex Rider: Operation Stormbreaker ,Ashley Walters,2006
Cariba Heine,Alex Russell,Bait ,Richard Brancatisano,2012
Jason Cottle,Alex Veadov,Act of Valor ,Rorke Denver,2012
Delroy Lindo,Alexa PenaVega,Do You Believe? ,Madison Pettis,2015
Jake Busey,Alexa PenaVega,Wicked Blood ,Lew Temple,2014
Demián Bichir,Alexa PenaVega,Machete Kills ,Marko Zaror,2013
Joel McHale,Alexa PenaVega,Spy Kids: All the Time in the World in 4D,Daryl Sabara,2011
Paris Hilton,Alexa PenaVega,Repo! The Genetic Opera ,Paul Sorvino,2008
Cheech Marin,Alexa PenaVega,Spy Kids ,Daryl Sabara,2001
Treat Williams,Alexa PenaVega,The Deep End of the Ocean ,Jonathan Jackson,1999
Bob Gunton,Alexa PenaVega,The Glimmer Man ,Keenen Ivory Wayans,1996
Virginia Madsen,Alexa PenaVega,Ghosts of Mississippi ,Craig T. Nelson,1996
Stephen Root,Alexander Gould,Finding Nemo ,Brad Garrett,2003
Ethan Embry,Alexander Gould,They ,Marc Blucas,2002
David Fine,Alexander Skarsgård,The Diary of a Teenage Girl ,Austin Lyon,2015
Julia Ormond,Alexander Skarsgård,The East ,Jason Ritter,2013
Laz Alonso,Alexander Skarsgård,Straw Dogs ,Rhys Coiro,2011
Kirsten Dunst,Alexander Skarsgård,Melancholia ,Charlotte Rampling,2011
Omar Metwally,Alexandra Maria Lara,The City of Your Final Destination ,Diego Velazquez,2009
Henry Czerny,Alexia Fast,Fido ,Kesun Loder,2006
Park Bench,Alexis Arquette,Bride of Chucky ,Vince Corazza,1998
Louis Lombardi,Alexis Dziena,Wonderland ,Franky G,2003
Annabelle Wallis,Alfre Woodard,Annabelle ,Gabriel Bateman,2014
Dave Fennoy,Alfre Woodard,The Hadza: Last of the First ,Jane Goodall,2014
Yaya DaCosta,Alfre Woodard,Take the Lead ,Jasika Nicole,2006
Keshia Knight Pulliam,Alfre Woodard,Beauty Shop ,LisaRaye McCoy,2005
Riley Smith,Alfre Woodard,Radio ,Debra Winger,2003
Flea,Alfre Woodard,The Wild Thornberrys Movie ,Cree Summer,2002
D.B. Sweeney,Alfre Woodard,Dinosaur ,Della Reese,2000
Sanaa Lathan,Alfre Woodard,Love & Basketball ,Omar Epps,2000
Delroy Lindo,Alfre Woodard,Crooklyn ,Isaiah Washington,1994
Mark Webber,Alia Shawkat,Green Room ,Joe Cole,2015
RZA,Alice Braga,Repo Men ,Yvette Nicole Brown,2010
Randy Couture,Alice Braga,Redbelt ,Jose Pablo Cantillo,2008
Seu Jorge,Alice Braga,City of God ,Alexandre Rodrigues,2002
Tim Rice,Alice Cooper,"To Be Frank, Sinatra at 100",Louis Walsh,2015
Jessica Simpson,Alice Greczyn,The Dukes of Hazzard ,Michael Weston,2005
Christian Campbell,Alice Krige,The Betrayed ,Blaine Anderson,2008
Susan Blommaert,Alice Olivia Clarke,The Good Heart ,Stephen Henderson,2009
Brendan Sexton III,Alicia Goranson,Boys Don't Cry ,Jeannetta Arnette,1999
Tika Sumpter,Alicia Witt,A Madea Christmas ,Larry the Cable Guy,2013
Erika Christensen,Alicia Witt,The Upside of Anger ,Joan Allen,2005
Melanie Griffith,Alicia Witt,Cecil B. DeMented ,Kevin Nealon,2000
Loretta Devine,Alicia Witt,Urban Legend ,Julian Richings,1998
Olympia Dukakis,Alicia Witt,Mr. Holland's Opus ,Jean Louisa Kelly,1995
Kostja Ullmann,Alicja Bachleda,Summer Storm ,Robert Stadlober,2004
Garba Touré,Aliou Touré,They Will Have to Kill Us First ,Khaira Arby,2015
Damon Wayans Jr.,Alison Brie,How to Be Single ,Nicholas Braun,2016
Jacki Weaver,Alison Brie,The Five-Year Engagement ,David Paymer,2012
Aimee Teegarden,Alison Brie,Scream 4,Shenae Grimes-Beech,2011
Omar Benson Miller,Alison Lohman,Things We Lost in the Fire ,Robin Weigert,2007
Danny Pino,Alison Lohman,Flicka ,Tim McGraw,2006
Rosanna Arquette,Ally Sheedy,Sugar Town ,John Doe,1999
Illeana Douglas,Ally Walker,"Happy, Texas ",Jeremy Northam,1999
Robert Kennedy Jr.,Alma Martinez,Food Chains ,Eve Ensler,2014
James Ransone,Alona Tal,Broken City ,Michael Beach,2013
Michael Byrne,Alun Armstrong,The Saint ,Velibor Topic,1997
Dania Ramirez,Alyson Hannigan,American Reunion ,Natasha Lyonne,2012
Carmen Electra,Alyson Hannigan,Date Movie ,Fred Willard,2006
John Stamos,Alyson Hannigan,Farce of the Penguins ,Jim Belushi,2006
Thomas Ian Nicholas,Alyson Hannigan,American Wedding ,Fred Willard,2003
Shannon Elizabeth,Alyson Hannigan,American Pie 2,Natasha Lyonne,2001
Amanda Detmer,Alyson Hannigan,Boys and Girls ,Tsianina Joelson,2000
Shannon Elizabeth,Alyson Hannigan,American Pie ,Natasha Lyonne,1999
Linda Cardellini,Alyson Hannigan,Dead Man on Campus ,Poppy Montgomery,1998
Stephen Boss,Alyson Stoner,Step Up 3D,Facundo Lombard,2010
Neil Diamond,Amanda Detmer,Saving Silverman ,Kyle Gass,2001
Susan May Pratt,Amanda Schull,Center Stage ,Ethan Stiefel,2000
Zachery Ty Bryan,Amber Stevens West,The Fast and the Furious: Tokyo Drift ,Nikki Griffin,2006
Felicity Huffman,Amber Valletta,Raising Helen ,Spencer Breslin,2004
Lance Gross,America Ferrera,Our Family Wedding ,Lupe Ontiveros,2010
Blythe Danner,America Ferrera,The Sisterhood of the Traveling Pants 2,Michael Rady,2008
Eugenio Derbez,America Ferrera,Under the Same Moon ,Kate del Castillo,2007
Lupe Ontiveros,America Ferrera,Real Women Have Curves ,George Lopez,2002
Nora Arnezeder,America Olivo,Maniac ,Liane Balaban,2012
Yuval Diskin,Ami Ayalon,The Gatekeepers ,Yaakov Peri,2012
Anne Archer,Amir Talai,November ,Nora Dunn,2004
,Amos Oz,Censored Voices ,,2015
Mindy Kaling,Amy Poehler,Inside Out ,Phyllis Smith,2015
Carlos Ponce,Amy Poehler,Free Birds ,Dan Fogler,2013
Jesse McCartney,Amy Poehler,Alvin and the Chipmunks: Chipwrecked ,Lauren Gottlieb,2011
Phil LaMarr,Amy Poehler,Hoodwinked Too! Hood vs. Evil ,Cheech Marin,2011
Rainn Wilson,Amy Poehler,Monsters vs. Aliens ,Stephen Colbert,2009
Bridgit Mendler,Amy Poehler,Alvin and the Chipmunks: The Squeakquel ,Jesse McCartney,2009
Ariel Gade,Amy Poehler,Envy ,Sam Lerner,2004
Eddie Griffin,Amy Poehler,Deuce Bigalow: Male Gigolo ,Bree Turner,1999
Randall Park,Amy Schumer,Trainwreck ,Josh Segarra,2015
Moises Arias,Ana de la Reguera,Nacho Libre ,Héctor Jiménez,2006
Vlad Ivanov,Anamaria Marinca,"4 Months, 3 Weeks and 2 Days",Alexandru Potocean,2007
Jimmy Nail,Andrea Corr,Evita ,Peter Polycarpou,1996
Kate Dollenmayer,Andrew Bujalski,Mutual Appreciation ,Justin Rice,2005
Kate Dollenmayer,Andrew Bujalski,Funny Ha Ha ,Justin Rice,2002
Fred Ward,Andrew Fiscella,Armored ,Lorna Raver,2009
Jay Hernandez,Andrew Fiscella,Quarantine ,Dania Ramirez,2008
Dustin Fitzsimons,Andrew Garfield,The Social Network ,Marcella Lentz-Pope,2010
Charlie Rowe,Andrew Garfield,Never Let Me Go ,Charlotte Rampling,2010
Lily Cole,Andrew Garfield,The Imaginarium of Doctor Parnassus ,Verne Troyer,2009
Warren Clarke,Andrew Garfield,Red Riding: In the Year of Our Lord 1974,John Henshaw,2009
Darryl Cox,Andrew Wilson,Bottle Rocket ,Lumi Cavazos,1996
Robert Miano,Andy Dick,Loser ,Zak Orth,2000
Michael Wong,Andy Lau,Firestorm ,Terence Yin,2013
Sammo Kam-Bo Hung,Andy Lau,Three Kingdoms: Resurrection of the Dragon ,Andy On,2008
Anita Mui,Andy Lau,The Legend of Drunken Master ,Ho-Sung Pak,1994
Jaime Zevallos,Angela Sarafyan,Me You and Five Bucks ,Michael Elian,2015
Mary Tsoni,Angeliki Papoulia,Dogtooth ,Sissy Petropoulou,2009
Kevin Gage,Angelina Armani,Fear Clinic ,Fiona Dourif,2015
Sharlto Copley,Angelina Jolie Pitt,Maleficent ,Sam Riley,2014
Gary Oldman,Angelina Jolie Pitt,Kung Fu Panda 2,Mike Bell,2011
Andre Braugher,Angelina Jolie Pitt,Salt ,August Diehl,2010
Wayne Knight,Angelina Jolie Pitt,Kung Fu Panda ,Dan Fogler,2008
Morgan Freeman,Angelina Jolie Pitt,Wanted ,Common,2008
Michael Kelly,Angelina Jolie Pitt,Changeling ,Colm Feore,2008
Archie Panjabi,Angelina Jolie Pitt,A Mighty Heart ,Dan Futterman,2007
Laurence Olivier,Angelina Jolie Pitt,Sky Captain and the World of Tomorrow ,Bai Ling,2004
Teri Polo,Angelina Jolie Pitt,Beyond Borders ,Noah Emmerich,2003
Stockard Channing,Angelina Jolie Pitt,Life or Something Like It ,James Gammon,2002
Noah Taylor,Angelina Jolie Pitt,Lara Croft: Tomb Raider ,Chris Barrie,2001
Gregory Itzin,Angelina Jolie Pitt,Original Sin ,Jack Thompson,2001
Kurt Fuller,Angelina Jolie Pitt,Pushing Tin ,Jake Weber,1999
Clea DuVall,Angelina Jolie Pitt,"Girl, Interrupted ",Vanessa Redgrave,1999
Fisher Stevens,Angelina Jolie Pitt,Hackers ,Lorraine Bracco,1995
Dr. Dre,Angell Conwell,The Wash ,DJ Pooh,2001
Kimberly J. Brown,Angus T. Jones,Bringing Down the House ,Steve Harris,2003
Kelly Clarkson,Anika Noni Rose,From Justin to Kelly ,Brian Dietzen,2003
Saurabh Shukla,Anil Kapoor,Slumdog Millionaire ,Ayush Mahesh Khedekar,2008
Matt Gerald,Anjelica Huston,Choke ,Jonah Bobo,2008
Lisa Edelstein,Anjelica Huston,Daddy Day Care ,Jeff Garlin,2003
Dougray Scott,Anjelica Huston,Ever After: A Cinderella Story ,Jeanne Moreau,1998
Vincent Gallo,Anjelica Huston,Buffalo '66,Jan-Michael Vincent,1998
Chazz Palminteri,Anjelica Huston,The Perez Family ,Vincent Gallo,1995
Hans Matheson,Anna Friel,Bathory: Countess of Blood ,Franco Nero,2008
Brían F. O'Byrne,Anna Friel,An Everlasting Piece ,Pauline McLynn,2000
Catherine McCormack,Anna Friel,The Land Girls ,Steven Mackintosh,1998
Michael Angarano,Anna Gunn,Red State ,Stephen Root,2011
Birgitte Hjort Sørensen,Anna Kendrick,Pitch Perfect 2,Hana Mae Lee,2015
Jeremy Jordan,Anna Kendrick,The Last Five Years ,Charly Bivona,2014
Lena Dunham,Anna Kendrick,Happy Christmas ,Mark Webber,2014
Kodi Smit-McPhee,Anna Kendrick,ParaNorman ,Elaine Stritch,2012
Dennis Quaid,Anna Kendrick,What to Expect When You're Expecting ,Thomas Lennon,2012
Hana Mae Lee,Anna Kendrick,Pitch Perfect ,Ben Platt,2012
Kieran Culkin,Anna Kendrick,Scott Pilgrim vs. the World ,Ellen Wong,2010
Stark Sands,Annabella Sciorra,Chasing Liberty ,Terence Maynard,2004
Stark Sands,Annabella Sciorra,Chasing Liberty ,Terence Maynard,2004
Revathy,Annabelle Wallis,Dil Jo Bhi Kahey... ,Bhoomika Chawla,2005
Shawn Parsons,Anne Hathaway,Song One ,Li Jun Li,2014
Wanda Sykes,Anne Hathaway,Rio ,Will.i.am,2011
Jim Sturgess,Anne Hathaway,One Day ,Rafe Spall,2011
Steve Howey,Anne Hathaway,Bride Wars ,Candice Bergen,2009
Rosemarie DeWitt,Anne Hathaway,Rachel Getting Married ,Bill Irwin,2008
Julie Walters,Anne Hathaway,Becoming Jane ,Laurence Fox,2007
Chazz Palminteri,Anne Hathaway,Hoodwinked! ,Jim Belushi,2005
Raven-Symoné,Anne Hathaway,The Princess Diaries 2: Royal Engagement,Hector Elizondo,2004
Steve Coogan,Anne Hathaway,Ella Enchanted ,Joanna Lumley,2004
Hector Elizondo,Anne Hathaway,The Princess Diaries ,Heather Matarazzo,2001
Nathaniel Lees,Anne Hathaway,The Other Side of Heaven ,Miriama Smith,2001
Patrick Fischler,Anthony 'Citric' Campos,Idiocracy ,David Herman,2006
Emma Watson,Anthony Hopkins,Noah ,Logan Lerman,2014
Colin O'Donoghue,Anthony Hopkins,The Rite ,Toby Jones,2011
Simon Merrells,Anthony Hopkins,The Wolfman ,Art Malik,2010
Naomi Watts,Anthony Hopkins,You Will Meet a Tall Dark Stranger ,Ewen Bremner,2010
Nick Cannon,Anthony Hopkins,Bobby ,Brian Geraghty,2006
Antony Starr,Anthony Hopkins,The World's Fastest Indian ,Craig Hall,2005
Angelina Jolie Pitt,Anthony Hopkins,Alexander ,Brian Blessed,2004
Brooke Smith,Anthony Hopkins,Bad Company ,Garcelle Beauvais,2002
Mika Boorem,Anthony Hopkins,Hearts in Atlantis ,Hope Davis,2001
Maura Tierney,Anthony Hopkins,Instinct ,John Ashton,1999
Brad Pitt,Anthony Hopkins,Meet Joe Black ,Jake Weber,1998
Tony Amendola,Anthony Hopkins,The Mask of Zorro ,Stuart Wilson,1998
Harold Perrineau,Anthony Hopkins,The Edge ,Bart the Bear,1997
Morgan Freeman,Anthony Hopkins,Amistad ,Matthew McConaughey,1997
Bob Hoskins,Anthony Hopkins,Nixon ,Joan Allen,1995
Brad Pitt,Anthony Hopkins,Legends of the Fall ,Julia Ormond,1994
Nick Chinlund,Anthony L. Fernandez,Close Range ,Scott Evans,2015
Scott Adsit,Antony Starr,Without a Paddle ,Bonnie Somerville,2004
Steven Mackintosh,Anupam Kher,Rang De Basanti ,Madhavan,2006
Herman Koto,Anwar Congo,The Act of Killing ,Syamsul Arifin,2012
Albert Finney,Archie Panjabi,A Good Year ,Richard Coyle,2006
Danny Huston,Archie Panjabi,The Constant Gardener ,Donald Sumpter,2005
Parminder Nagra,Archie Panjabi,Bend It Like Beckham ,Anupam Kher,2002
Jimi Mistry,Archie Panjabi,East Is East ,Om Puri,1999
Ronny Dayag,Ari Folman,Waltz with Bashir ,Zahava Solomon,2008
Janel Parrish,Ari Graynor,Celeste & Jesse Forever ,Rob Huebel,2012
J.B. Smoove,Ari Graynor,The Sitter ,Kylie Bunbury,2011
Alexis Dziena,Ari Graynor,Nick and Norah's Infinite Playlist ,Aaron Yoo,2008
Richard Schiff,Ariana Richards,The Lost World: Jurassic Park ,Vanessa Lee Chester,1997
Xinhua Jiang,Ariel Hsing,Top Spin ,Michael Landers,2014
Boman Irani,Arjun Rampal,Housefull ,Riteish Deshmukh,2010
Brooklynn Proulx,Arliss Howard,The Time Traveler's Wife ,Michelle Nolden,2009
Ramon Rodriguez,Armando Riesco,Bella ,Eduardo Verástegui,2006
Michael Weston,Armando Riesco,Garden State ,Jill Flint,2004
Holt McCallany,Armin Mueller-Stahl,The Peacemaker ,Marcel Iures,1997
Amber Marshall,Ashanti,Mutant World ,John DeSantis,2014
Essence Atkins,Ashley Rickards,A Haunted House 2,Gabriel Iglesias,2014
Piper Mackenzie Harris,Ashley Scott,Christmas Mail ,Lochlyn Munro,2010
Brittany Curran,Ashley Tramonte,Exeter ,Lindsay MacDonald,2015
Steve Howey,Ashley Williams,Something Borrowed ,Kirsten Day,2011
Mithun Chakraborty,Asin,Khiladi 786,Johnny Lever,2012
Charlie Tahan,Augustus Prew,Charlie St. Cloud ,Valerie Tian,2010
Brenda Blethyn,Aunjanue Ellis,Lovely & Amazing ,Raven Goodwin,2001
Brad Renfro,Austin Nichols,The Informers ,Lou Taylor Pucci,2008
Phil Hartman,Austin Pendleton,Sgt. Bilko ,Max Casella,1996
Moritz Bleibtreu,Ayelet Zurer,Munich ,Mathieu Amalric,2005
Amir Farrokh Hashemian,Bahare Seddiqi,Children of Heaven ,Mohammad Amir Naji,1997
Geoffrey Palmer,Bai Ling,Anna and the King ,Randall Duk Kim,1999
Gedde Watanabe,Bailee Madison,Parental Guidance ,Tom Everett Scott,2012
Alan Dale,Bailee Madison,Don't Be Afraid of the Dark ,Jack Thompson,2010
Steve-O,Bam Margera,Jackass 3D,Chris Pontius,2010
Steve-O,Bam Margera,Jackass Number Two ,Chris Pontius,2006
Steve-O,Bam Margera,Jackass: The Movie ,Chris Pontius,2002
Zackary Steven Graham,Barack Obama,2016: Obama's America,Dinesh D'Souza,2012
Steven Michael Quezada,Bárbara Mori,Kites ,Kabir Bedi,2010
Tim Blake Nelson,Barry Corbin,The Homesman ,Miranda Otto,2014
Johnny Walter,Barry Corbin,Dawn of the Crescent Moon ,Shiree Nelson,2014
Nia Long,Barry Corbin,Held Up ,Jake Busey,1999
Skye McCole Bartusiak,Barry Watson,Boogeyman ,Charles Mesure,2005
Shelly Varod,Bashar Rahal,In the Name of the King: The Last Job ,Ralitsa Paskaleva,2014
Sergej Trifunovic,Bashar Rahal,"War, Inc. ",Ned Bellamy,2008
Susanna Thompson,Beau Bridges,The Ballad of Jack and Rose ,Ryan McDonald,2005
Carmen Electra,Beau Mirchoff,Scary Movie 4,Regina Hall,2006
Aaron Stanford,Bebe Neuwirth,Tadpole ,Ron Rifkin,2000
Lola Dueñas,Belén Rueda,The Sea Inside ,Tamar Novas,2004
Joshua Mikel,Bella Thorne,Alvin and the Chipmunks: The Road Chip ,Jesse McCartney,2015
Romany Malco,Bella Thorne,The DUFF ,Skyler Samuels,2015
Adam Sandler,Bella Thorne,Blended ,Joel McHale,2014
Steve Carell,Bella Thorne,"Alexander and the Terrible, Horrible, No Good, Very Bad Day ",Jennifer Garner,2014
Chloe Bridges,Bella Thorne,Forget Me Not ,Christopher Atkins,2009
Christopher Judge,Ben Browder,Stargate: The Ark of Truth ,Julian Sands,2008
Alex Kendrick,Ben Davies,Courageous ,T.C. Stallings,2011
Edwin Hodge,Ben Feldman,"As Above, So Below ",Perdita Weeks,2014
Chris Noth,Ben Feldman,The Perfect Man ,Vanessa Lengies,2005
Felicity Huffman,Ben Gazzara,The Spanish Prisoner ,Campbell Scott,1997
Annet Mahendru,Benedict Cumberbatch,Penguins of Madagascar ,Andy Richter,2014
Rory Kinnear,Benedict Cumberbatch,The Imitation Game ,Allen Leech,2014
Bruce Greenwood,Benedict Cumberbatch,Star Trek Into Darkness ,Noel Clarke,2013
Peter Capaldi,Benedict Cumberbatch,The Fifth Estate ,Jamie Blackley,2013
Meryl Streep,Benedict Cumberbatch,August: Osage County ,Julia Roberts,2013
Colin Firth,Benedict Cumberbatch,Tinker Tailor Soldier Spy ,Gary Oldman,2011
Alfie Allen,Benedict Cumberbatch,Atonement ,Brenda Blethyn,2007
Robin Givens,Benjamin A. Onyango,God's Not Dead 2,Maria Canals-Barrera,2016
Rüdiger Vogler,Benno Fürmann,Anatomy ,Sebastian Blomberg,2000
Nathalie Baye,Benoît Magimel,The Flower of Evil ,Mélanie Doutey,2003
Ed Lauter,Bérénice Bejo,The Artist ,Beth Grant,2011
Jada Pinkett Smith,Bernie Mac,Madagascar: Escape 2 Africa,Cedric the Entertainer,2008
Sean Hayes,Bernie Mac,Soul Men ,Mike Epps,2008
Nicole Sullivan,Bernie Mac,Guess Who ,Sherri Shepherd,2005
Chris Noth,Bernie Mac,Mr 3000,Paul Sorvino,2004
Dylan Baker,Bernie Mac,Head of State ,Tracy Morgan,2003
Tony Cox,Bernie Mac,Bad Santa ,Alex Borstein,2003
Larry Miller,Bernie Mac,What's the Worst That Could Happen? ,Richard Schiff,2001
Cedric the Entertainer,Bernie Mac,The Original Kings of Comedy ,Steve Harvey,2000
Monica Calhoun,Bernie Mac,The Players Club ,Chrystale Wilson,1998
Gilbert Gottfried,Bernie Mac,How to Be a Player ,Lark Voorhies,1997
Harry Lennix,Bernie Mac,Get on the Bus ,Andre Braugher,1996
Philip Baker Hall,Beth Grant,Bad Words ,Patricia Belcher,2013
Dagmara Dominczyk,Beth Grant,Rock Star ,Matthew Glave,2001
Ben Gazzara,Beverly D'Angelo,Illuminata ,George DiCenzo,1998
