actor_2_name,actor_1_name,movie_title,actor_3_name,title_year
Bill Duke,50 Cent,Get Rich or Die Tryin' ,Marc John Jefferies,2005
Jack McGraw,A.J. Buckley,The Good Dinosaur ,Peter Sohn,2015
Lena Olin,Aaliyah,Queen of the Damned ,Bruce Spence,2002
Dequina Moore,Aasif Mandvi,Ghost Town ,Jordan Carlos,2008
Gabourey Sidibe,Abbie Cornish,Seven Psychopaths ,Michael Stuhlbarg,2012
Richard Roxburgh,Abbie Cornish,Legend of the Guardians: The Owls of Ga'Hoole ,Anthony LaPaglia,2010
Paul Schneider,Abbie Cornish,Bright Star ,Samuel Roukin,2009
Bipasha Basu,Abhishek Bachchan,Dum Maaro Dum ,Prateik,2011
Uday Chopra,Abhishek Bachchan,Neal 'N' Nikki ,Samantha McLeod,2005
Stacie Evans,Abigail Evans,Butterfly Girl ,Emily Gorell,2014
Cicely Tyson,Abigail Spencer,The Haunting in Connecticut 2: Ghosts of Georgia,Brad James,2013
Celia Weston,Adam Arkin,Hanging Up ,Jesse James,2000
Sean Maher,Adam Baldwin,Serenity ,Michael Hitchcock,2005
Carol Kane,Adam Garcia,Confessions of a Teenage Drama Queen ,Glenne Headly,2004
Jacqueline Bisset,Adam Garcia,Fascination ,Alice Evans,2004
Tyra Banks,Adam Garcia,Coyote Ugly ,Izabella Miko,2000
Bob Balaban,Adam Goldberg,A Monster in Paris ,François Cluzet,2011
Frankie Muniz,Adam Goldberg,Stay Alive ,Samaire Armstrong,2006
Meat Loaf,Adam Goldberg,The Salton Sea ,Anthony LaPaglia,2002
Austin Pendleton,Adam Goldberg,A Beautiful Mind ,Judd Hirsch,2001
Elizabeth Daily,Adam Goldberg,Babe: Pig in the City ,Glenne Headly,1998
Bruce Altman,Adam LeFevre,L.I.E. ,Walter Masterson,2001
Leighton Meester,Adam Sandler,That's My Boy ,Will Forte,2012
Bailee Madison,Adam Sandler,Just Go with It ,Kevin Nealon,2011
RZA,Adam Sandler,Funny People ,Maude Apatow,2009
Sayed Badreya,Adam Sandler,You Don't Mess with the Zohan ,Kevin Nealon,2008
Carmen Electra,Adam Sandler,Bedtime Stories ,Kathryn Joosten,2008
Don Cheadle,Adam Sandler,Reign Over Me ,John de Lancie,2007
Cameron Monaghan,Adam Sandler,Click ,Julie Kavner,2006
Steve Reevis,Adam Sandler,The Longest Yard ,Dalip Singh,2005
Peter Dante,Adam Sandler,50 First Dates,Allen Covert,2004
Paz Vega,Adam Sandler,Spanglish ,Sarah Steele,2004
Emily Watson,Adam Sandler,Punch-Drunk Love ,Don McManus,2002
Jon Lovitz,Adam Sandler,Little Nicky ,Michael McKean,2000
Clint Howard,Adam Sandler,The Waterboy ,Peter Dante,1998
Kevin Nealon,Adam Sandler,Happy Gilmore ,Frances Bay,1996
Conchata Ferrell,Adam Scott,Krampus ,Allison Tolman,2015
Gillian Jacobs,Adam Scott,Hot Tub Time Machine 2,Collette Wolfe,2015
Adrian Martinez,Adam Scott,The Secret Life of Walter Mitty ,Joey Slotnick,2013
Kelly Brook,Adam Scott,Piranha 3D,Jessica Szohr,2010
Kaitlin Olson,Adam Scott,Leap Year ,Dominique McElligott,2010
Ellen Burstyn,Adam Scott,"Lovely, Still ",Martin Landau,2008
Jane Fonda,Adam Scott,Monster-in-Law ,Elaine Stritch,2005
Philip Baker Hall,Adam Scott,The Matador ,Hope Davis,2005
Scott Porter,Adrian Martinez,The Good Guy ,Aaron Yoo,2009
Jorge Salinas,Adriana Barraza,Amores Perros ,Goya Toledo,2000
Melonie Diaz,Ahna O'Reilly,Fruitvale Station ,Ariana Neal,2013
Kendrick Cross,Aidan Quinn,The 5th Quarter,Sammy Nagi Njuguna,2010
Iben Hjejle,Aidan Quinn,The Eclipse ,Jim Norton,2009
Jeremy Northam,Aidan Quinn,Bobby Jones: Stroke of Genius ,Paul Freeman,2004
Ossie Davis,Aidan Quinn,Proud ,Janet Hubert,2004
David Patrick Kelly,Aidan Quinn,Songcatcher ,Jane Adams,2000
Adam Brown,Aidan Turner,The Hobbit: The Battle of the Five Armies ,James Nesbitt,2014
Adam Brown,Aidan Turner,The Hobbit: The Desolation of Smaug ,James Nesbitt,2013
