Kommune,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Svendborg,58714,59040,59185,58998,58713,58551,58296,57979,57988,58228
Syddjurs,41003,41281,41314,41392,41734,41815,41894,41719,41652,41889
Tårnby,39772,40016,40214,40383,40835,41151,41572,41992,42573,42860
Thisted,45580,45549,45596,45297,45145,44908,44494,44230,44078,43991
Tønder,40331,40367,40216,39710,39464,39083,38686,38316,38010,37904
Vallensbæk,12145,12399,13365,14045,14445,14565,14797,15095,15204,15419
Varde,49849,50125,50475,50378,50351,50193,49969,49958,50122,50289
Vejen,41882,42447,42807,42768,42683,42785,42700,42667,42601,42869
Vejle,104101,104933,105884,106383,107218,108021,108826,109652,110471,111743
Vesthimmerlands,37841,38277,38495,38106,37864,37534,37586,37479,37399,37296
Viborg,91405,92084,92823,93310,93498,93819,94333,94486,94985,95776
Vordingborg,46485,46600,46551,46319,46170,45804,45465,45295,45471,45806
